seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
357,5,10,1,0.3,3,19,2500,0.85,1,0,XRAI_0.10,1,1,sum,0.85
114,2,5,1,0.3,4,2,100,0.6,0,0,XRAI_0.10,0,0,sum,0.1
2031,10,10,1,1,10,114,10000,0.951111,3,2,XRAI_0.10,1,1,sum,0.95
10214,2,25,3,0.6,20,3,2500,0.28,4,4,XRAI_0.10,0,0,sum,0.25
153,2,25,1,0.3,1,24,2500,0.92,13,10,XRAI_0.10,0,1,sum,0.9
114,2,5,1,0.3,4,2,100,0.6,0,0,XRAI_0.10,0,0,sum,0.25
10214,2,25,3,0.6,20,5,2500,0.4,4,4,XRAI_0.10,0,0,sum,0.4
114,2,5,1,0.3,4,2,100,0.6,0,0,XRAI_0.10,0,0,sum,0.4
10214,2,25,3,0.6,20,6,2500,0.52,7,4,XRAI_0.10,0,0,sum,0.5
153,2,25,1,0.3,1,35,2500,1,14,10,XRAI_0.10,1,1,sum,0.95
114,2,5,1,0.3,4,2,100,0.6,0,0,XRAI_0.10,0,0,sum,0.5
153,2,25,1,0.3,1,35,2500,1,14,10,XRAI_0.10,1,1,sum,1
114,2,5,1,0.3,4,3,100,0.8,0,0,XRAI_0.10,0,1,sum,0.65
357,5,10,1,0.3,3,24,2500,0.9,1,0,XRAI_0.10,1,1,sum,0.9
114,2,5,1,0.3,4,3,100,0.8,0,0,XRAI_0.10,1,1,sum,0.75
63,2,10,1,0.3,1,16,400,0.9,1,0,XRAI_0.10,1,1,sum,0.9
31663,10,50,5,0.3,23,24,250000,0.256889,8,7,XRAI_0.10,0,0,sum,0.25
11197,2,15,5,0.3,27,0,900,0,0,0,XRAI_0.10,0,0,sum,0
114,2,5,1,0.3,4,3,100,0.8,0,0,XRAI_0.10,1,1,sum,0.8
10214,2,25,3,0.6,20,21,2500,0.72,9,4,XRAI_0.10,0,1,sum,0.65
114,2,5,1,0.3,4,4,100,1,1,0,XRAI_0.10,1,1,sum,0.85
230,2,25,1,0.3,2,0,2500,0,4,4,XRAI_0.10,0,0,sum,0
