seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
95,2,10,1,0.3,2,0,400,0,0,0,XRAI_1.00,1,1,sum,0
50,2,5,1,0.3,2,2,100,0.8,0,0,XRAI_1.00,0,0,sum,0.5
10396,2,15,5,0.3,26,7,900,0.866667,2,0,XRAI_1.00,0,0,sum,0.85
153,2,25,1,0.3,1,25,2500,0.96,13,10,XRAI_1.00,0,0,sum,0.95
4319,2,50,1,1,9,49,10000,1,45,24,XRAI_1.00,0,0,sum,1
95,2,10,1,0.3,2,1,400,0.3,0,0,XRAI_1.00,1,1,sum,0.1
50,2,5,1,0.3,2,2,100,0.8,0,0,XRAI_1.00,0,0,sum,0.65
9235,2,25,3,0.6,19,0,2500,0,8,8,XRAI_1.00,0,0,sum,0
10396,2,15,5,0.3,26,12,900,0.933333,4,0,XRAI_1.00,0,0,sum,0.9
95,2,10,1,0.3,2,1,400,0.3,0,0,XRAI_1.00,1,1,sum,0.25
50,2,5,1,0.3,2,2,100,0.8,0,0,XRAI_1.00,0,0,sum,0.75
1764,10,15,1,0.3,4,99,22500,0.900741,5,1,XRAI_1.00,1,1,sum,0.9
153,2,25,1,0.3,1,50,2500,1,14,10,XRAI_1.00,0,0,sum,1
95,2,10,1,0.3,2,2,400,0.7,1,0,XRAI_1.00,1,1,sum,0.4
5271,2,50,1,1,10,0,10000,0,24,24,XRAI_1.00,0,0,sum,0
50,2,5,1,0.3,2,2,100,0.8,0,0,XRAI_1.00,0,0,sum,0.8
9235,2,25,3,0.6,19,1,2500,0.2,8,8,XRAI_1.00,0,0,sum,0.1
95,2,10,1,0.3,2,2,400,0.7,1,0,XRAI_1.00,1,1,sum,0.5
230,2,25,1,0.3,2,0,2500,0,4,4,XRAI_1.00,0,0,sum,0
5271,2,50,1,1,10,2,10000,0.18,24,24,XRAI_1.00,0,0,sum,0.1
230,2,25,1,0.3,2,1,2500,0.24,4,4,XRAI_1.00,0,0,sum,0.1
50,2,5,1,0.3,2,7,100,1,0,0,XRAI_1.00,0,1,sum,0.85
95,2,10,1,0.3,2,2,400,0.7,1,0,XRAI_1.00,1,1,sum,0.65
50,2,5,1,0.3,2,7,100,1,0,0,XRAI_1.00,1,1,sum,0.9
5271,2,50,1,1,10,4,10000,0.28,24,24,XRAI_1.00,0,0,sum,0.25
305,5,10,1,0.3,2,336,2500,1,3,1,XRAI_1.00,0,1,sum,1
9235,2,25,3,0.6,19,2,2500,0.4,9,8,XRAI_1.00,0,0,sum,0.25
50,2,5,1,0.3,2,7,100,1,0,0,XRAI_1.00,1,1,sum,0.95
93,2,15,1,0.3,1,20,900,0.933333,5,3,XRAI_1.00,0,0,sum,0.9
31663,10,50,5,0.3,23,14,250000,0.271556,7,7,XRAI_1.00,0,0,sum,0.25
16450,5,25,5,0.3,25,56,15625,0.852,6,0,XRAI_1.00,0,0,sum,0.85
15755,25,25,1,0.3,2,11,390625,0.120267,13,13,XRAI_1.00,0,0,sum,0.1
14173,5,50,3,0.6,16,26,62500,0.652,26,16,XRAI_1.00,0,0,sum,0.65
93,2,15,1,0.3,1,60,900,1,6,3,XRAI_1.00,0,0,sum,0.95
10396,2,15,5,0.3,26,52,900,1,4,0,XRAI_1.00,0,1,sum,0.95
5271,2,50,1,1,10,5,10000,0.46,27,24,XRAI_1.00,0,0,sum,0.4
93,2,15,1,0.3,1,60,900,1,6,3,XRAI_1.00,0,0,sum,1
10396,2,15,5,0.3,26,52,900,1,4,0,XRAI_1.00,1,1,sum,1
50,2,5,1,0.3,2,7,100,1,0,0,XRAI_1.00,1,1,sum,1
357,5,10,1,0.3,3,0,2500,0,0,0,XRAI_1.00,1,1,sum,0
230,2,25,1,0.3,2,4,2500,0.56,4,4,XRAI_1.00,0,0,sum,0.25
95,2,10,1,0.3,2,4,400,0.8,1,0,XRAI_1.00,1,1,sum,0.75
9235,2,25,3,0.6,19,2,2500,0.4,9,8,XRAI_1.00,0,0,sum,0.4
11197,2,15,5,0.3,27,0,900,0,0,0,XRAI_1.00,0,0,sum,0
77,2,5,1,0.3,3,0,100,0,0,0,XRAI_1.00,0,0,sum,0
230,2,25,1,0.3,2,4,2500,0.56,4,4,XRAI_1.00,0,0,sum,0.4
5271,2,50,1,1,10,8,10000,0.5,28,24,XRAI_1.00,0,0,sum,0.5
140,2,15,1,0.3,2,0,900,0,1,1,XRAI_1.00,1,1,sum,0
357,5,10,1,0.3,3,1,2500,0.12,0,0,XRAI_1.00,1,1,sum,0.1
11197,2,15,5,0.3,27,1,900,0.133333,0,0,XRAI_1.00,0,0,sum,0.1
95,2,10,1,0.3,2,4,400,0.8,1,0,XRAI_1.00,1,1,sum,0.8
230,2,25,1,0.3,2,4,2500,0.56,4,4,XRAI_1.00,0,0,sum,0.5
11197,2,15,5,0.3,27,2,900,0.266667,0,0,XRAI_1.00,0,0,sum,0.25
140,2,15,1,0.3,2,2,900,0.333333,1,1,XRAI_1.00,1,1,sum,0.1
357,5,10,1,0.3,3,4,2500,0.33,0,0,XRAI_1.00,1,1,sum,0.25
77,2,5,1,0.3,3,1,100,0.6,0,0,XRAI_1.00,0,1,sum,0.1
9235,2,25,3,0.6,19,4,2500,0.68,9,8,XRAI_1.00,0,0,sum,0.5
140,2,15,1,0.3,2,2,900,0.333333,1,1,XRAI_1.00,1,1,sum,0.25
77,2,5,1,0.3,3,1,100,0.6,0,0,XRAI_1.00,1,1,sum,0.25
230,2,25,1,0.3,2,5,2500,0.68,8,4,XRAI_1.00,0,0,sum,0.65
140,2,15,1,0.3,2,4,900,0.533333,1,1,XRAI_1.00,1,1,sum,0.4
357,5,10,1,0.3,3,6,2500,0.46,0,0,XRAI_1.00,1,1,sum,0.4
77,2,5,1,0.3,3,1,100,0.6,0,0,XRAI_1.00,1,1,sum,0.4
230,2,25,1,0.3,2,6,2500,0.76,9,4,XRAI_1.00,0,0,sum,0.75
11197,2,15,5,0.3,27,3,900,0.466667,0,0,XRAI_1.00,0,0,sum,0.4
95,2,10,1,0.3,2,6,400,0.9,1,0,XRAI_1.00,1,1,sum,0.85
77,2,5,1,0.3,3,1,100,0.6,0,0,XRAI_1.00,1,1,sum,0.5
357,5,10,1,0.3,3,7,2500,0.51,0,0,XRAI_1.00,1,1,sum,0.5
11197,2,15,5,0.3,27,4,900,0.533333,0,0,XRAI_1.00,0,0,sum,0.5
95,2,10,1,0.3,2,6,400,0.9,1,0,XRAI_1.00,1,1,sum,0.9
230,2,25,1,0.3,2,29,2500,0.8,9,4,XRAI_1.00,0,0,sum,0.8
5271,2,50,1,1,10,13,10000,0.68,27,24,XRAI_1.00,0,0,sum,0.65
357,5,10,1,0.3,3,11,2500,0.72,0,0,XRAI_1.00,1,1,sum,0.65
11197,2,15,5,0.3,27,6,900,0.666667,1,0,XRAI_1.00,0,0,sum,0.65
230,2,25,1,0.3,2,35,2500,0.88,9,4,XRAI_1.00,0,0,sum,0.85
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_1.00,1,0,sum,0.65
357,5,10,1,0.3,3,15,2500,0.76,1,0,XRAI_1.00,1,1,sum,0.75
5271,2,50,1,1,10,16,10000,0.78,27,24,XRAI_1.00,0,0,sum,0.75
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_1.00,0,0,sum,0.75
11197,2,15,5,0.3,27,14,900,0.8,3,0,XRAI_1.00,0,0,sum,0.75
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_1.00,0,0,sum,0.8
95,2,10,1,0.3,2,7,400,1,1,0,XRAI_1.00,1,1,sum,0.95
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_1.00,0,0,sum,0.85
9235,2,25,3,0.6,19,4,2500,0.68,9,8,XRAI_1.00,0,0,sum,0.65
140,2,15,1,0.3,2,4,900,0.533333,1,1,XRAI_1.00,1,1,sum,0.5
31663,10,50,5,0.3,23,20,250000,0.401333,9,7,XRAI_1.00,0,0,sum,0.4
140,2,15,1,0.3,2,13,900,0.666667,2,1,XRAI_1.00,1,1,sum,0.65
14173,5,50,3,0.6,16,38,62500,0.754,28,16,XRAI_1.00,0,0,sum,0.75
16450,5,25,5,0.3,25,179,15625,0.9,7,0,XRAI_1.00,0,0,sum,0.9
95,2,10,1,0.3,2,7,400,1,1,0,XRAI_1.00,1,1,sum,1
2031,10,10,1,1,10,95,10000,0.953333,2,2,XRAI_1.00,1,1,sum,0.95
357,5,10,1,0.3,3,24,2500,0.8,1,0,XRAI_1.00,1,1,sum,0.8
9235,2,25,3,0.6,19,5,2500,0.76,9,8,XRAI_1.00,0,0,sum,0.75
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_1.00,0,0,sum,0.9
140,2,15,1,0.3,2,18,900,0.8,3,1,XRAI_1.00,1,1,sum,0.75
147,2,10,1,0.3,3,0,400,0,0,0,XRAI_1.00,0,0,sum,0
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_1.00,0,0,sum,0.95
140,2,15,1,0.3,2,18,900,0.8,3,1,XRAI_1.00,1,1,sum,0.8
147,2,10,1,0.3,3,1,400,0.7,0,0,XRAI_1.00,0,0,sum,0.1
230,2,25,1,0.3,2,61,2500,0.92,10,4,XRAI_1.00,0,0,sum,0.9
5271,2,50,1,1,10,17,10000,0.82,27,24,XRAI_1.00,0,0,sum,0.8
140,2,15,1,0.3,2,23,900,0.866667,5,1,XRAI_1.00,1,1,sum,0.85
357,5,10,1,0.3,3,27,2500,0.88,1,0,XRAI_1.00,1,1,sum,0.85
230,2,25,1,0.3,2,68,2500,0.96,10,4,XRAI_1.00,0,0,sum,0.95
