seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,div_threshold
2046,2,5,1,0.3,10,1,100,0.6,0,0,XRAI_1.50,0,0,eucl,0.5
3975,2,15,1,0.3,7,39,900,1,4,2,XRAI_1.50,0,0,eucl,1
11281,5,10,1,1,10,4,2500,0.530958,1,1,XRAI_1.50,0,0,eucl,0.5
2046,2,5,1,0.3,10,3,100,0.8,0,0,XRAI_1.50,0,0,eucl,0.75
4652,2,15,1,0.3,8,1,900,0.6,2,2,XRAI_1.50,1,1,eucl,0.25
4239,2,30,1,0.3,4,2,3600,0.266667,11,11,XRAI_1.50,0,0,eucl,0.25
32068,2,15,5,1,18,2,900,0.4,9,8,XRAI_1.50,0,0,eucl,0.25
4239,2,30,1,0.3,4,3,3600,0.5,13,11,XRAI_1.50,0,0,eucl,0.5
11281,5,10,1,1,10,9,2500,0.759168,4,1,XRAI_1.50,0,0,eucl,0.75
4652,2,15,1,0.3,8,1,900,0.6,2,2,XRAI_1.50,1,1,eucl,0.5
2046,2,5,1,0.3,10,4,100,1,0,0,XRAI_1.50,0,1,eucl,0.85
32068,2,15,5,1,18,3,900,0.6,9,8,XRAI_1.50,0,0,eucl,0.5
4652,2,15,1,0.3,8,8,900,0.866667,2,2,XRAI_1.50,1,1,eucl,0.75
11281,5,10,1,1,10,15,2500,0.865836,4,1,XRAI_1.50,0,0,eucl,0.85
2046,2,5,1,0.3,10,4,100,1,0,0,XRAI_1.50,1,1,eucl,1
4239,2,30,1,0.3,4,14,3600,0.766667,15,11,XRAI_1.50,0,0,eucl,0.75
4652,2,15,1,0.3,8,8,900,0.866667,2,2,XRAI_1.50,1,1,eucl,0.85
32068,2,15,5,1,18,6,900,0.8,9,8,XRAI_1.50,0,0,eucl,0.75
2303,2,5,1,0.3,11,1,100,0.8,0,0,XRAI_1.50,0,0,eucl,0.25
4652,2,15,1,0.3,8,18,900,1,4,2,XRAI_1.50,1,1,eucl,1
2303,2,5,1,0.3,11,1,100,0.8,0,0,XRAI_1.50,0,0,eucl,0.5
2223,2,10,1,0.3,6,2,400,0.9,0,0,XRAI_1.50,1,1,eucl,0.75
179507,2,50,1,1,28,17,10000,0.78,39,24,XRAI_1.50,0,0,eucl,0.75
2223,2,10,1,0.3,6,2,400,0.9,0,0,XRAI_1.50,1,1,eucl,0.85
85121,2,30,3,1,23,1,3600,0.4,17,17,XRAI_1.50,0,0,eucl,0.25
2223,2,10,1,0.3,6,3,400,1,0,0,XRAI_1.50,1,1,eucl,1
32068,2,15,5,1,18,10,900,0.933333,9,8,XRAI_1.50,0,0,eucl,0.85
5359,2,15,1,0.3,9,2,900,0.533333,3,1,XRAI_1.50,0,0,eucl,0.25
2303,2,5,1,0.3,11,1,100,0.8,0,0,XRAI_1.50,0,0,eucl,0.75
4239,2,30,1,0.3,4,29,3600,0.866667,15,11,XRAI_1.50,0,0,eucl,0.85
5359,2,15,1,0.3,9,2,900,0.533333,3,1,XRAI_1.50,0,0,eucl,0.5
2303,2,5,1,0.3,11,3,100,1,1,0,XRAI_1.50,0,0,eucl,0.85
51079,20,30,5,0.3,24,36,360000,0.512297,19,18,XRAI_1.50,0,0,eucl,0.5
5359,2,15,1,0.3,9,6,900,0.8,5,1,XRAI_1.50,0,0,eucl,0.75
2303,2,5,1,0.3,11,3,100,1,1,0,XRAI_1.50,0,0,eucl,1
5359,2,15,1,0.3,9,8,900,0.933333,5,1,XRAI_1.50,0,0,eucl,0.85
2655,2,10,1,0.3,7,1,400,0.3,0,0,XRAI_1.50,0,0,eucl,0.25
179507,2,50,1,1,28,29,10000,0.88,44,24,XRAI_1.50,0,0,eucl,0.85
85121,2,30,3,1,23,2,3600,0.566667,17,17,XRAI_1.50,0,0,eucl,0.5
2655,2,10,1,0.3,7,2,400,0.6,0,0,XRAI_1.50,0,0,eucl,0.5
85121,2,30,3,1,23,6,3600,0.766667,19,17,XRAI_1.50,0,0,eucl,0.75
105725,20,50,3,0.3,29,25,1000000,0.252098,32,32,XRAI_1.50,0,1,eucl,0.25
2655,2,10,1,0.3,7,4,400,0.9,3,0,XRAI_1.50,0,0,eucl,0.75
85121,2,30,3,1,23,8,3600,0.866667,19,17,XRAI_1.50,0,0,eucl,0.85
2655,2,10,1,0.3,7,4,400,0.9,3,0,XRAI_1.50,0,0,eucl,0.85
5359,2,15,1,0.3,9,66,900,1,5,1,XRAI_1.50,0,0,eucl,1
32068,2,15,5,1,18,38,900,1,10,8,XRAI_1.50,0,0,eucl,1
4239,2,30,1,0.3,4,60,3600,1,15,11,XRAI_1.50,0,0,eucl,1
6096,2,15,1,0.3,10,4,900,0.4,3,3,XRAI_1.50,0,0,eucl,0.25
2570,2,5,1,0.3,12,1,100,0.6,0,0,XRAI_1.50,0,0,eucl,0.25
6096,2,15,1,0.3,10,7,900,0.733333,3,3,XRAI_1.50,0,0,eucl,0.5
2570,2,5,1,0.3,12,1,100,0.6,0,0,XRAI_1.50,0,0,eucl,0.5
2655,2,10,1,0.3,7,18,400,1,3,0,XRAI_1.50,0,0,eucl,1
179507,2,50,1,1,28,48,10000,1,45,24,XRAI_1.50,0,0,eucl,1
6096,2,15,1,0.3,10,12,900,0.866667,4,3,XRAI_1.50,0,0,eucl,0.75
2570,2,5,1,0.3,12,2,100,1,0,0,XRAI_1.50,0,0,eucl,0.75
5411,2,30,1,0.3,5,3,3600,0.333333,9,9,XRAI_1.50,0,0,eucl,0.25
3107,2,10,1,0.3,8,2,400,0.4,0,0,XRAI_1.50,0,0,eucl,0.25
6096,2,15,1,0.3,10,12,900,0.866667,4,3,XRAI_1.50,0,0,eucl,0.85
2570,2,5,1,0.3,12,2,100,1,0,0,XRAI_1.50,0,0,eucl,0.85
3107,2,10,1,0.3,8,3,400,0.5,0,0,XRAI_1.50,0,0,eucl,0.5
187359,2,50,1,1,29,3,10000,0.36,30,26,XRAI_1.50,0,0,eucl,0.25
3107,2,10,1,0.3,8,4,400,0.9,2,0,XRAI_1.50,0,0,eucl,0.75
6096,2,15,1,0.3,10,14,900,1,5,3,XRAI_1.50,0,0,eucl,1
5411,2,30,1,0.3,5,4,3600,0.5,9,9,XRAI_1.50,0,0,eucl,0.5
2570,2,5,1,0.3,12,2,100,1,0,0,XRAI_1.50,0,0,eucl,1
1167,5,5,3,1,2,625,625,0.910557,2,1,XRAI_1.50,1,1,eucl,1
