seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
114,2,5,1,0.3,4,4,100,1,1,0,XRAI_0.10,1,1,eucl,0.95
16450,5,25,5,0.3,25,123,15625,0.856334,7,0,XRAI_0.10,0,0,eucl,0.85
114,2,5,1,0.3,4,4,100,1,1,0,XRAI_0.10,1,1,eucl,1
230,2,25,1,0.3,2,29,2500,0.88,9,4,XRAI_0.10,0,0,eucl,0.85
1764,10,15,1,0.3,4,70,22500,0.808321,2,1,XRAI_0.10,1,1,eucl,0.8
217,2,15,1,0.3,3,21,900,0.666667,6,4,XRAI_0.10,1,1,eucl,0.65
161,2,5,1,0.3,5,0,100,0,0,0,XRAI_0.10,1,1,eucl,0
230,2,25,1,0.3,2,51,2500,0.92,10,4,XRAI_0.10,0,0,eucl,0.9
161,2,5,1,0.3,5,1,100,0.4,0,0,XRAI_0.10,1,1,eucl,0.1
217,2,15,1,0.3,3,29,900,0.8,7,4,XRAI_0.10,1,1,eucl,0.75
161,2,5,1,0.3,5,1,100,0.4,0,0,XRAI_0.10,1,1,eucl,0.25
217,2,15,1,0.3,3,29,900,0.8,7,4,XRAI_0.10,1,1,eucl,0.8
12028,2,15,5,0.3,28,9,900,0.866667,2,0,XRAI_0.10,0,0,eucl,0.8
217,2,15,1,0.3,3,30,900,0.866667,7,4,XRAI_0.10,1,1,eucl,0.85
161,2,5,1,0.3,5,1,100,0.4,0,0,XRAI_0.10,1,1,eucl,0.4
12028,2,15,5,0.3,28,9,900,0.866667,2,0,XRAI_0.10,0,0,eucl,0.85
217,2,15,1,0.3,3,34,900,0.933333,7,4,XRAI_0.10,1,1,eucl,0.9
161,2,5,1,0.3,5,3,100,0.8,0,0,XRAI_0.10,1,1,eucl,0.5
230,2,25,1,0.3,2,80,2500,0.96,10,4,XRAI_0.10,0,0,eucl,0.95
161,2,5,1,0.3,5,3,100,0.8,0,0,XRAI_0.10,1,1,eucl,0.65
9235,2,25,3,0.6,19,2,2500,0.2,8,8,XRAI_0.10,0,0,eucl,0.1
12028,2,15,5,0.3,28,14,900,0.933333,2,0,XRAI_0.10,0,0,eucl,0.9
63,2,10,1,0.3,1,1,400,0.3,0,0,XRAI_0.10,1,1,eucl,0.25
230,2,25,1,0.3,2,92,2500,1,10,4,XRAI_0.10,0,0,eucl,1
161,2,5,1,0.3,5,3,100,0.8,0,0,XRAI_0.10,1,1,eucl,0.75
14173,5,50,3,0.6,16,69,62500,0.764628,29,16,XRAI_0.10,0,0,eucl,0.75
15755,25,25,1,0.3,2,13,390625,0.108942,13,13,XRAI_0.10,0,0,eucl,0.1
9235,2,25,3,0.6,19,3,2500,0.32,8,8,XRAI_0.10,0,0,eucl,0.25
63,2,10,1,0.3,1,3,400,0.4,0,0,XRAI_0.10,1,1,eucl,0.4
161,2,5,1,0.3,5,3,100,0.8,0,0,XRAI_0.10,1,1,eucl,0.8
